n,t
1178,602
1179,624
1180,601
1181,604
1182,603
1183,603
1184,604
1185,607
1186,606
1187,607
1188,605
1189,609
1190,607
1191,607
1192,613
1193,608
1194,610
1195,610
1196,610
1197,610
1198,611
1199,634
1200,638
1201,635
1202,634
1203,635
1204,634
1205,634
1206,636
1207,639
1208,654
1209,641
1210,640
1211,641
1212,639
1213,641
1214,639
1215,639
1216,640
1217,641
1218,638
1219,639
1220,641
1221,639
1222,642
1223,642
1224,647
1225,647
1226,644
1227,645
1228,647
1229,646
1230,647
1231,647
1232,658
1233,649
1234,649
1235,651
1236,650
1237,648
1238,651
1239,649
1240,650
1241,657
1242,652
1243,653
1244,653
1245,655
1246,654
1247,654
1248,656
1249,656
1250,657
1251,676
1252,658
1253,658
1254,658
1255,660
1256,658
1257,659
1258,660
1259,661
1260,671
1261,662
1262,663
1263,661
1264,662
1265,664
1266,664
1267,666
1268,666
1269,665
1270,665
1271,668
1272,667
1273,668
1274,669
1275,669
1276,669
1277,668
1278,671
1279,669
1280,672
1281,673
1282,673
1283,673
1284,680
1285,673
1286,683
1287,675
1288,675
1289,675
1290,674
1291,675
1292,676
1293,676
1294,676
1295,678
1296,678
1297,679
1298,679
1299,681
1300,682
1301,679
1302,681
1303,682
1304,686
1305,682
1306,684
1307,684
1308,683
1309,684
1310,684
1311,684
1312,685
1313,701
1314,686
1315,687
1316,694
1317,687
1318,689
1319,692
1320,689
1321,691
1322,690
1323,691
1324,692
1325,692
1326,692
1327,693
1328,694
1329,693
1330,695
1331,693
1332,696
1333,696
1334,696
1335,699
1336,698
1337,699
1338,698
1339,704
1340,699
1341,699
1342,700
1343,701
1344,702
1345,703
1346,702
1347,702
1348,705
1349,705
1350,705
1351,705
1352,705
1353,705
1354,706
1355,707
1356,708
1357,709
1358,707
1359,716
1360,720
1361,711
1362,709
1363,709
1364,712
1365,714
1366,719
1367,711
1368,712
1369,714
1370,713
1371,725
1372,686
1373,682
1374,686
1375,696
1376,684
1377,698
1378,686
1379,687
1380,690
1381,688
1382,687
1383,688
1384,691
1385,689
1386,688
1387,690
1388,685
1389,685
1390,686
1391,689
1392,696
1393,694
1394,694
1395,692
1396,697
1397,696
1398,718
1399,726
1400,697
1401,697
1402,698
1403,697
1404,698
1405,705
1406,700
1407,701
1408,701
1409,704
1410,704
1411,702
1412,702
1413,707
1414,705
1415,711
1416,707
1417,704
1418,708
1419,711
1420,708
1421,707
1422,706
1423,719
1424,709
1425,710
1426,709
1427,710
1428,713
1429,729
1430,713
1431,712
1432,712
1433,713
1434,713
1435,724
1436,717
1437,731
1438,719
1439,721
1440,734
1441,720
1442,719
1443,717
1444,722
1445,720
1446,726
1447,722
1448,724
1449,721
1450,755
1451,724
1452,724
1453,725
1454,728
1455,729
1456,728
1457,729
1458,732
1459,728
1460,731
1461,729
1462,729
1463,729
1464,745
1465,732
1466,733
1467,730
1468,733
1469,732
